
Fri, 03 Jun 2016 17:18:50

{u'y': -14.63, u'x': 265.88, u'z': 86.56, u't': 1464967130083}
{u'y': -15.0, u'x': 266.19, u'z': 85.81, u't': 1464967130138}
{u'y': -16.25, u'x': 264.75, u'z': 88.87, u't': 1464967130192}
{u'y': -17.06, u'x': 264.88, u'z': 90.37, u't': 1464967130247}
{u'y': -16.12, u'x': 268.94, u'z': 89.44, u't': 1464967130302}
{u'y': -15.88, u'x': 273.31, u'z': 87.75, u't': 1464967130357}
{u'y': -16.56, u'x': 275.13, u'z': 90.37, u't': 1464967130414}
{u'y': -17.25, u'x': 276.75, u'z': 92.37, u't': 1464967130468}
{u'y': -15.81, u'x': 283.19, u'z': 91.0, u't': 1464967130525}
{u'y': -15.5, u'x': 287.69, u'z': 88.87, u't': 1464967130580}
{u'y': -15.5, u'x': 290.19, u'z': 90.5, u't': 1464967130636}
{u'y': -15.88, u'x': 291.56, u'z': 91.87, u't': 1464967130691}
{u'y': -14.06, u'x': 297.19, u'z': 90.12, u't': 1464967130746}
{u'y': -12.63, u'x': 302.06, u'z': 88.87, u't': 1464967130801}
{u'y': -12.19, u'x': 305.13, u'z': 89.75, u't': 1464967130856}
{u'y': -11.88, u'x': 306.5, u'z': 90.87, u't': 1464967130912}
{u'y': -11.19, u'x': 307.69, u'z': 91.56, u't': 1464967130967}
{u'y': -10.81, u'x': 308.44, u'z': 92.25, u't': 1464967131023}
{u'y': -10.56, u'x': 309.06, u'z': 93.19, u't': 1464967131079}
{u'y': -10.31, u'x': 309.69, u'z': 93.94, u't': 1464967131135}
{u'y': -10.13, u'x': 310.06, u'z': 94.5, u't': 1464967131190}
{u'y': -10.06, u'x': 310.25, u'z': 95.44, u't': 1464967131245}
{u'y': -10.25, u'x': 309.63, u'z': 96.56, u't': 1464967131299}
{u'y': -10.38, u'x': 308.88, u'z': 97.31, u't': 1464967131354}
{u'y': -10.75, u'x': 307.5, u'z': 97.56, u't': 1464967131409}
{u'y': -11.75, u'x': 304.94, u'z': 99.69, u't': 1464967131466}
{u'y': -12.75, u'x': 302.69, u'z': 101.69, u't': 1464967131521}
{u'y': -12.5, u'x': 302.75, u'z': 99.62, u't': 1464967131578}
{u'y': -13.31, u'x': 301.69, u'z': 96.62, u't': 1464967131633}
{u'y': -14.81, u'x': 297.69, u'z': 97.75, u't': 1464967131689}
{u'y': -16.44, u'x': 294.88, u'z': 98.62, u't': 1464967131744}
{u'y': -15.75, u'x': 296.38, u'z': 95.69, u't': 1464967131799}
{u'y': -15.94, u'x': 297.31, u'z': 92.0, u't': 1464967131854}
{u'y': -17.12, u'x': 295.88, u'z': 93.12, u't': 1464967131909}
{u'y': -18.75, u'x': 294.06, u'z': 95.19, u't': 1464967131964}
{u'y': -18.37, u'x': 295.88, u'z': 93.62, u't': 1464967132020}
{u'y': -18.62, u'x': 298.38, u'z': 90.31, u't': 1464967132076}
{u'y': -18.44, u'x': 299.94, u'z': 90.75, u't': 1464967132131}
{u'y': -18.87, u'x': 299.19, u'z': 95.75, u't': 1464967132188}
{u'y': -19.56, u'x': 299.88, u'z': 97.75, u't': 1464967132243}
{u'y': -18.31, u'x': 304.94, u'z': 97.31, u't': 1464967132298}
{u'y': -17.94, u'x': 311.13, u'z': 95.06, u't': 1464967132353}
{u'y': -17.25, u'x': 313.94, u'z': 96.75, u't': 1464967132408}
{u'y': -17.69, u'x': 316.25, u'z': 101.44, u't': 1464967132463}
{u'y': -16.56, u'x': 323.19, u'z': 100.87, u't': 1464967132519}
{u'y': -16.81, u'x': 329.38, u'z': 99.12, u't': 1464967132574}
{u'y': -15.75, u'x': 334.19, u'z': 100.19, u't': 1464967132631}
{u'y': -15.25, u'x': 335.31, u'z': 103.62, u't': 1464967132688}
{u'y': -14.38, u'x': 340.06, u'z': 105.0, u't': 1464967132743}
{u'y': -12.88, u'x': 346.81, u'z': 102.06, u't': 1464967132798}
{u'y': -12.25, u'x': 353.75, u'z': 100.37, u't': 1464967132852}
{u'y': -10.81, u'x': 356.63, u'z': 102.62, u't': 1464967132907}
{u'y': -10.75, u'x': 0.25, u'z': 105.56, u't': 1464967132962}
{u'y': -9.25, u'x': 7.19, u'z': 104.19, u't': 1464967133018}
{u'y': -9.44, u'x': 15.81, u'z': 101.37, u't': 1464967133074}
{u'y': -8.5, u'x': 20.0, u'z': 103.0, u't': 1464967133130}
{u'y': -9.0, u'x': 21.69, u'z': 106.62, u't': 1464967133185}
{u'y': -8.81, u'x': 24.94, u'z': 105.19, u't': 1464967133242}
{u'y': -10.0, u'x': 28.5, u'z': 101.94, u't': 1464967133297}
{u'y': -10.5, u'x': 29.25, u'z': 101.62, u't': 1464967133351}
{u'y': -11.06, u'x': 25.25, u'z': 104.31, u't': 1464967133406}
{u'y': -12.81, u'x': 22.12, u'z': 105.31, u't': 1464967133461}
{u'y': -14.94, u'x': 23.37, u'z': 101.94, u't': 1464967133516}
